iter	Passed	Remaining
0	0	60
1	1	54
2	1	51
3	1	47
4	2	46
5	2	45
6	3	44
7	3	43
8	4	43
9	4	42
10	5	41
11	5	41
12	6	40
13	6	40
14	7	39
15	7	39
16	7	38
17	8	37
18	8	37
19	9	36
20	9	36
21	10	35
22	10	35
23	10	34
24	11	34
25	11	33
26	12	33
27	12	32
28	13	32
29	13	31
30	14	31
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	16	28
37	17	28
38	17	27
39	18	27
40	18	26
41	18	25
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	21	22
49	22	22
50	22	21
51	23	21
52	23	20
53	24	20
54	24	19
55	24	19
56	25	19
57	25	18
58	26	18
59	26	17
60	27	17
61	27	16
62	28	16
63	28	16
64	29	15
65	29	15
66	29	14
67	30	14
68	30	13
69	31	13
70	31	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	34	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
