iter	Passed	Remaining
0	117	117383
1	119	59535
2	121	40379
3	122	30609
4	124	24836
5	125	20824
6	126	17927
7	127	15755
8	127	14044
9	127	12671
10	128	11546
11	128	10618
12	129	9846
13	130	9167
14	130	8578
15	131	8062
16	131	7611
17	132	7209
18	132	6844
19	133	6517
20	133	6221
21	135	6012
22	136	5782
23	136	5565
24	137	5367
25	138	5185
26	138	5008
27	139	4847
28	140	4696
29	140	4554
30	141	4420
31	142	4296
32	142	4178
33	143	4064
34	143	3961
35	144	3863
36	144	3770
37	145	3684
38	146	3600
39	146	3520
40	147	3442
41	147	3367
42	148	3297
43	148	3229
44	149	3168
45	149	3109
46	150	3049
47	151	2996
48	151	2946
49	152	2898
50	153	2851
51	153	2802
52	154	2755
53	154	2709
54	155	2665
55	155	2623
56	156	2582
57	156	2542
58	157	2504
59	157	2467
60	157	2432
61	158	2397
62	158	2363
63	159	2330
64	159	2299
65	160	2269
66	160	2240
67	161	2212
68	162	2186
69	162	2158
70	163	2133
71	163	2107
72	164	2082
73	164	2060
74	165	2038
75	165	2016
76	166	1993
77	166	1971
78	167	1950
79	167	1928
80	168	1907
81	168	1888
82	168	1865
83	169	1846
84	169	1829
85	170	1812
86	171	1794
87	171	1777
88	172	1760
89	172	1743
90	173	1728
91	173	1712
92	174	1697
93	174	1681
94	174	1667
95	175	1653
96	176	1639
97	176	1625
98	177	1612
99	177	1599
100	178	1586
101	178	1574
102	179	1562
103	180	1552
104	180	1540
105	181	1528
106	181	1517
107	182	1506
108	182	1495
109	183	1484
110	183	1473
111	184	1461
112	184	1451
113	185	1440
114	185	1430
115	186	1420
116	186	1409
117	187	1399
118	187	1390
119	188	1380
120	188	1371
121	189	1361
122	189	1352
123	190	1343
124	190	1334
125	191	1326
126	191	1316
127	191	1307
128	192	1299
129	192	1290
130	193	1282
131	193	1274
132	194	1266
133	194	1260
134	195	1253
135	196	1247
136	196	1240
137	197	1233
138	198	1226
139	198	1219
140	199	1212
141	199	1204
142	199	1196
143	200	1190
144	200	1183
145	201	1176
146	201	1170
147	202	1164
148	202	1158
149	203	1153
150	203	1146
151	204	1140
152	204	1134
153	205	1128
154	205	1122
155	206	1116
156	206	1110
157	207	1104
158	207	1098
159	208	1092
160	208	1086
161	208	1080
162	209	1075
163	210	1071
164	210	1066
165	211	1062
166	211	1057
167	212	1052
168	213	1047
169	213	1042
170	213	1037
171	214	1031
172	214	1027
173	215	1022
174	215	1017
175	216	1012
176	216	1007
177	217	1002
178	217	998
179	218	993
180	218	989
181	219	984
182	219	980
183	219	975
184	220	971
185	220	967
186	221	962
187	221	958
188	222	954
189	222	950
190	223	946
191	223	941
192	224	937
193	224	933
194	225	930
195	225	926
196	226	922
197	227	919
198	227	915
199	227	911
200	228	907
201	228	904
202	229	900
203	229	896
204	230	893
205	230	889
206	231	886
207	231	883
208	232	879
209	232	876
210	233	872
211	233	869
212	234	865
213	234	862
214	235	859
215	235	855
216	236	852
217	236	849
218	237	845
219	237	842
220	238	839
221	238	836
222	239	832
223	239	829
224	240	826
225	240	823
226	241	821
227	241	818
228	242	815
229	242	812
230	243	809
231	243	806
232	243	803
233	244	800
234	244	797
235	245	794
236	245	791
237	246	788
238	246	785
239	247	782
240	247	779
241	247	776
242	248	773
243	248	771
244	249	768
245	249	765
246	250	762
247	250	759
248	251	757
249	251	754
250	251	751
251	252	748
252	252	746
253	253	743
254	253	741
255	254	738
256	254	736
257	255	733
258	255	731
259	256	729
260	256	727
261	257	724
262	257	722
263	258	719
264	258	717
265	259	714
266	259	712
267	259	709
268	260	707
269	260	705
270	261	702
271	261	700
272	262	698
273	262	695
274	263	693
275	263	691
276	263	688
277	264	686
278	264	684
279	265	681
280	265	679
281	266	677
282	266	675
283	266	673
284	267	670
285	267	668
286	268	666
287	268	664
288	269	662
289	269	660
290	270	658
291	270	656
292	271	654
293	271	652
294	272	650
295	272	648
296	273	646
297	273	644
298	274	642
299	274	640
300	274	638
301	275	636
302	275	634
303	276	632
304	276	630
305	277	628
306	277	626
307	277	624
308	278	622
309	278	620
310	279	618
311	279	616
312	280	614
313	280	613
314	281	611
315	281	609
316	282	607
317	282	605
318	282	603
319	283	602
320	283	600
321	284	598
322	284	596
323	285	594
324	285	593
325	286	591
326	286	590
327	287	588
328	287	586
329	288	584
330	288	583
331	288	581
332	289	579
333	289	577
334	290	576
335	290	574
336	291	572
337	291	571
338	292	569
339	292	567
340	293	566
341	293	564
342	293	562
343	294	561
344	294	559
345	295	557
346	295	556
347	296	554
348	296	553
349	296	551
350	297	549
351	297	548
352	298	546
353	298	545
354	299	543
355	299	541
356	300	540
357	300	538
358	300	537
359	301	536
360	302	534
361	302	533
362	303	531
363	303	530
364	303	528
365	304	527
366	304	525
367	305	524
368	305	522
369	306	521
370	306	519
371	307	518
372	307	516
373	307	515
374	308	513
375	308	512
376	309	511
377	309	509
378	310	508
379	310	506
380	311	505
381	311	504
382	311	502
383	312	501
384	312	499
385	313	498
386	313	496
387	314	495
388	314	494
389	315	492
390	315	491
391	315	490
392	316	488
393	317	487
394	317	486
395	317	484
396	318	483
397	318	482
398	319	480
399	319	479
400	320	478
401	320	476
402	321	475
403	321	474
404	321	472
405	322	471
406	322	470
407	323	468
408	323	467
409	324	466
410	324	465
411	324	463
412	325	462
413	325	461
414	326	460
415	326	458
416	327	457
417	327	456
418	328	454
419	328	453
420	328	452
421	329	451
422	329	449
423	330	448
424	330	447
425	331	446
426	331	445
427	332	444
428	332	442
429	333	441
430	333	440
431	334	439
432	334	437
433	334	436
434	335	435
435	335	434
436	336	433
437	336	431
438	337	430
439	337	429
440	337	428
441	338	427
442	338	425
443	339	424
444	339	423
445	340	422
446	340	421
447	340	420
448	341	418
449	341	417
450	342	416
451	342	415
452	343	414
453	343	413
454	344	412
455	344	410
456	344	409
457	345	408
458	345	407
459	346	406
460	346	405
461	347	404
462	347	403
463	348	402
464	348	401
465	349	400
466	349	399
467	350	397
468	350	396
469	350	395
470	351	394
471	351	393
472	352	392
473	352	391
474	353	390
475	353	389
476	354	388
477	354	387
478	354	386
479	355	384
480	355	383
481	356	382
482	356	381
483	357	380
484	357	379
485	357	378
486	358	377
487	358	376
488	359	375
489	359	374
490	360	373
491	360	372
492	361	371
493	361	370
494	362	369
495	362	368
496	363	367
497	363	366
498	363	365
499	364	364
500	364	363
501	365	362
502	365	361
503	366	360
504	366	359
505	366	358
506	367	357
507	367	356
508	368	355
509	368	354
510	369	353
511	369	352
512	370	351
513	370	350
514	371	349
515	371	348
516	371	347
517	372	346
518	372	345
519	373	344
520	373	343
521	374	342
522	374	341
523	374	340
524	375	339
525	375	338
526	376	337
527	376	336
528	377	336
529	378	335
530	378	334
531	378	333
532	379	332
533	379	331
534	380	330
535	380	329
536	381	328
537	381	327
538	382	326
539	382	325
540	382	324
541	383	323
542	383	323
543	384	322
544	384	321
545	385	320
546	385	319
547	386	318
548	386	317
549	387	316
